insert_date,origin,destination,start_date,end_date,train_type,price,train_class,fare
2019-04-22 08:00:25,MADRID,SEVILLA,2019-04-28 08:30:00,2019-04-28 11:14:00,ALVIA,,Turista,Flexible
2019-04-22 10:03:24,MADRID,VALENCIA,2019-05-20 06:45:00,2019-05-20 08:38:00,AVE,21.95,Turista,Promo
2019-04-25 19:19:46,MADRID,SEVILLA,2019-05-29 06:20:00,2019-05-29 09:16:00,AV City,38.55,Turista,Promo
2019-04-24 06:21:57,SEVILLA,MADRID,2019-05-03 08:35:00,2019-05-03 15:26:00,LD-MD,34.35,Turista con enlace,Promo +
2019-04-19 21:13:55,VALENCIA,MADRID,2019-05-10 09:40:00,2019-05-10 11:20:00,AVE,45.3,Turista,Promo
2019-04-13 14:05:18,MADRID,BARCELONA,2019-04-15 19:30:00,2019-04-15 22:40:00,AVE,85.1,Turista,Promo
2019-04-17 19:18:39,BARCELONA,MADRID,2019-05-04 19:00:00,2019-05-04 22:00:00,AVE,98.0,Preferente,Promo
2019-05-09 03:06:08,MADRID,VALENCIA,2019-05-21 15:40:00,2019-05-21 17:22:00,AVE,33.65,Turista,Promo
2019-05-04 01:17:16,MADRID,BARCELONA,2019-05-27 07:15:00,2019-05-27 16:37:00,R. EXPRES,43.25,Turista,Adulto ida
2019-04-22 15:04:40,MADRID,SEVILLA,2019-05-16 18:35:00,2019-05-16 21:08:00,ALVIA,,Turista,Flexible
2019-04-23 20:22:12,MADRID,SEVILLA,2019-05-02 17:00:00,2019-05-02 19:38:00,AVE,76.3,Turista,Flexible
2019-04-23 20:24:36,MADRID,SEVILLA,2019-06-01 11:00:00,2019-06-01 13:32:00,AVE,61.45,Preferente,Promo
2019-04-17 07:03:39,BARCELONA,MADRID,2019-05-13 19:00:00,2019-05-13 22:00:00,AVE,54.45,Preferente,Promo
2019-04-20 00:49:17,MADRID,SEVILLA,2019-04-24 13:10:00,2019-04-24 20:51:00,MD-LD,34.35,Turista con enlace,Promo +
2019-04-13 00:06:25,MADRID,SEVILLA,2019-05-07 17:00:00,2019-05-07 19:38:00,AVE,,Turista,Promo
2019-04-13 18:02:42,MADRID,BARCELONA,2019-05-24 15:30:00,2019-05-24 18:40:00,AVE,102.15,Turista Plus,Promo
2019-04-17 14:08:03,BARCELONA,MADRID,2019-05-29 18:25:00,2019-05-29 20:55:00,AVE,100.4,Turista,Promo
2019-04-19 18:22:36,SEVILLA,MADRID,2019-05-05 13:40:00,2019-05-05 16:10:00,AVE,,Turista,Flexible
2019-04-17 05:33:15,MADRID,VALENCIA,2019-04-25 15:40:00,2019-04-25 17:22:00,AVE,66.55,Preferente,Promo
2019-05-08 13:28:35,SEVILLA,MADRID,2019-06-30 07:00:00,2019-06-30 10:02:00,AV City,58.95,Turista Plus,Promo
2019-04-18 02:36:43,MADRID,SEVILLA,2019-05-29 15:00:00,2019-05-29 17:21:00,AVE,60.3,Turista,Promo
2019-04-15 06:40:37,SEVILLA,MADRID,2019-04-25 08:35:00,2019-04-25 15:26:00,LD-MD,34.35,Turista con enlace,Promo +
2019-04-29 15:32:56,MADRID,SEVILLA,2019-05-24 11:05:00,2019-05-24 13:41:00,ALVIA,,Preferente,Promo
2019-05-09 15:34:25,MADRID,BARCELONA,2019-05-10 16:30:00,2019-05-10 19:15:00,AVE,107.7,Turista,Flexible
2019-04-21 08:47:42,MADRID,SEVILLA,2019-04-22 19:00:00,2019-04-22 21:38:00,AVE,76.3,Turista,Flexible
2019-04-15 00:17:45,MADRID,VALENCIA,2019-05-24 12:21:00,2019-05-24 19:04:00,REGIONAL,28.35,Turista,Adulto ida
2019-04-28 09:37:19,SEVILLA,MADRID,2019-05-29 19:15:00,2019-05-29 21:36:00,AVE,47.3,Turista,Promo
2019-04-17 09:23:55,VALENCIA,MADRID,2019-04-21 20:15:00,2019-04-21 21:55:00,AVE,,Turista,Flexible
